,date,sec_name,i_weight,PCT_CHG_PER,INDUSTRY_CSRC12,FA_ROICEBIT_TTM,FA_OCFTOOR_TTM,FA_DEBTTOASSET,FA_NPGR_TTM,FA_ORGR_TTM,TECH_PRICE1Y,PE_TTM,VAL_MVTOEBITDA_TTM,PB_LF,BETA_24M,ANNUALSTDEVR_24M
002509.SZ,2018/8/31 0:00,天广中茂,0.111,-4.379562044,专用设备制造业,11.2391,-12.3064,44.6895,21.4266,24.3275,-0.55893972,10.68410873,7.5525,1.241619468,1.064599991,37.08008957
600859.SH,2018/8/31 0:00,王府井,0.152,1.853035144,零售业,11.3331,7.074,40.6749,56.4773,20.832,-0.19172146,10.69393349,6.1635,1.186138272,1.256899953,29.25814819
000552.SZ,2018/8/31 0:00,靖远煤电,0.108,-2.711864407,煤炭开采和洗选业,10.0998,18.0205,27.1471,44.2472,21.518,-0.15558156,10.70814228,6.4073,0.926317811,0.595700026,17.95755577
600657.SH,2018/8/31 0:00,信达地产,0.098,0.526315789,房地产业,5.9632,86.6578,86.3905,5.1491,-17.1108,-0.24166366,10.71576691,4.1034,0.614345789,1.554100037,32.6294136
600611.SH,2018/8/31 0:00,大众交通,0.129,4.427083333,道路运输业,11.7464,16.8032,41.6583,44.4172,-13.2174,-0.12638416,10.79310703,5.5243,1.090028882,1.027199984,16.84315491
002233.SZ,2018/8/31 0:00,塔牌集团,0.182,-4.300468632,非金属矿物制品业,19.3589,34.3313,14.593,94.1816,38.1079,0.02431928,10.91172314,6.6823,1.696988225,0.563600004,26.45915413
601019.SH,2018/8/31 0:00,山东出版,0.06,4.638472033,新闻和出版业,15.2792,9.2841,34.326,36.587,16.2556,-0.22122854,11.14816475,10.1154,1.789106011,,
000778.SZ,2018/8/31 0:00,新兴铸管,0.358,-0.412371134,金属制品业,8.1293,12.3452,57.4637,139.6133,-28.3127,-0.02323942,11.16661072,4.4846,0.978407025,0.481599987,28.8632412
000541.SZ,2018/8/31 0:00,佛山照明,0.115,2.744425386,电气机械及器材制造业,20.5867,10.1954,18.1062,-32.081,5.6767,-0.16827605,11.31045628,8.7154,1.964449883,0.690199971,15.53129959
601801.SH,2018/8/31 0:00,皖新传媒,0.134,-2.627737226,新闻和出版业,10.2952,4.249,24.4698,-16.5164,15.9027,-0.28692293,11.43387699,11.4187,1.350828409,1.277999997,28.91693497
000887.SZ,2018/8/31 0:00,中鼎股份,0.26,6.178707224,橡胶和塑料制品业,11.8465,8.1821,46.5719,13.3242,23.2893,-0.30160555,11.44321823,6.9775,1.746700168,0.546000004,23.74018097
600835.SH,2018/8/31 0:00,上海机电,0.15,4.207758054,通用设备制造业,22.285,5.6163,63.2237,3.9583,4.5948,-0.21685956,11.47064686,5.9883,1.579604864,0.610700011,21.43482208
600757.SH,2018/8/31 0:00,长江传媒,0.108,11.84210526,新闻和出版业,10.2745,5.3443,38.3037,6.8827,7.6605,0.04193533,11.51191425,9.4822,1.281922102,1.046000004,17.22316742
002221.SZ,2018/8/31 0:00,东华能源,0.257,4.582843713,批发业,9.4354,6.4814,66.8662,64.8348,56.2926,-0.18515099,11.56310177,5.3612,1.777525783,0.871200025,28.85042381
603766.SH,2018/8/31 0:00,隆鑫通用,0.163,1.425661914,铁路、船舶、航空航天和其他运输设备制造业,15.0385,10.7665,37.4399,-3.9743,17.3505,-0.18761315,11.6107769,6.9253,1.692753553,1.085199952,22.33098412
000685.SZ,2018/8/31 0:00,中山公用,0.2,2.094972067,水的生产和供应业,7.2885,40.5423,27.5026,-8.8534,14.0108,-0.19872693,11.62968922,7.9418,0.891711414,0.916700006,14.42348003
600426.SH,2018/8/31 0:00,华鲁恒升,0.591,2.09706411,化学原料及化学制品制造业,18.6474,22.447,39.752,153.1238,48.689,0.03090292,11.71646404,6.8676,2.57391119,0.86650002,33.06242371
600787.SH,2018/8/31 0:00,中储股份,0.229,1,仓储业,12.4308,16.1168,45.0538,180.8635,26.4788,-0.22545681,11.79639053,7.0837,1.46180594,0.76819998,24.46452522
600056.SH,2018/8/31 0:00,中国医药,0.274,-2.016607355,医药制造业,23.0984,-0.5937,62.5817,39.3545,8.6199,-0.23736107,11.88290501,6.7856,2.21109581,0.592100024,27.88913536
002807.SZ,2018/8/31 0:00,江阴银行,0.15,1.648351648,货币金融服务,,-221.6175,91.0207,-0.3774,11.0118,-0.23020029,11.91094303,,1.000899076,,
600978.SH,2018/8/31 0:00,宜华生活,0.204,-0.375234522,家具制造业,7.6651,13.5869,52.0954,-16.4234,21.9188,-0.33929096,11.91208076,5.1126,0.953897953,1.257300019,20.63565254
002180.SZ,2018/8/31 0:00,纳思达,0.164,2.318145484,计算机、通信和其他电子设备制造业,6.9905,5.3984,79.2237,244.5061,33.0408,-0.10162708,11.9559269,10.7601,6.405955791,0.312000006,29.81933403
601233.SH,2018/8/31 0:00,桐昆股份,0.503,-3.037383178,化学纤维制造业,15.0239,6.0965,50.9439,77.1632,27.8761,0.02126851,12.09201717,6.2913,2.077467203,1.248600006,38.04726791
600580.SH,2018/8/31 0:00,卧龙电气,0.147,0.652741514,电气机械及器材制造业,9.5389,6.4371,65.6175,222.564,9.2242,-0.03778305,12.27246571,5.9817,1.728159904,0.624599993,21.30076027
002285.SZ,2018/8/31 0:00,世联行,0.19,2.847571189,房地产业,16.4238,-16.7868,64.248,20.9816,23.6438,-0.33462182,12.33597565,7.5762,2.38789463,1.291399956,40.32733917
002482.SZ,2018/8/31 0:00,广田集团,0.109,-0.511073254,建筑装饰和其他建筑业,8.4234,7.7801,59.7401,54.1177,18.1197,-0.21292571,12.6101532,8.5855,1.301600337,0.899500012,25.03090477
002839.SZ,2018/8/31 0:00,张家港行,0.156,0.347826087,货币金融服务,,-41.7169,91.2127,14.895,8.3333,-0.35549346,12.67373943,,1.190282226,,
000656.SZ,2018/8/31 0:00,金科股份,0.421,-2.222222222,房地产业,4.1741,6.5189,84.793,86.3816,35.1612,0.08743077,12.72465801,6.5636,1.461521745,-0.179000005,29.3392086
603188.SH,2018/8/31 0:00,ST亚邦,0.116,-10.33755274,化学原料及化学制品制造业,12.9287,23.7731,31.3569,-41.5587,6.4861,-0.37847156,12.80072689,7.4009,1.582000732,1.277999997,21.71679878
600729.SH,2018/8/31 0:00,重庆百货,0.213,-4.730949801,零售业,14.8219,3.5308,56.3093,65.0059,4.4252,-0.085695,12.85285091,8.1717,1.969379663,0.795000017,29.79647064
000039.SZ,2018/8/31 0:00,中集集团,0.301,6.501831502,金属制品业,5.7588,4.7267,69.8803,45.4703,41.8617,-0.29089149,12.96431446,4.4484,1.132148504,1.547799945,29.07801628
300182.SZ,2018/8/31 0:00,捷成股份,0.249,-5.601317957,广播、电视、电影和影视录音制作业,9.4584,10.4513,36.7871,1.1482,29.3484,-0.33066673,13.12955761,4.1911,1.451278567,0.837700009,22.54922295
000937.SZ,2018/8/31 0:00,冀中能源,0.133,1.741293532,煤炭开采和洗选业,6.4441,19.165,53.2252,54.0609,14.7715,-0.19764192,13.15087986,3.8098,0.729346633,1.478099942,30.90636826
603444.SH,2018/8/31 0:00,吉比特,0.111,-9.911073953,互联网和相关服务,35.0853,56.4616,22.2784,7.5138,3.22,-0.27994664,13.20231438,8.9147,3.407953262,,
002118.SZ,2018/8/31 0:00,紫鑫药业,0.085,-7.462686567,医药制造业,10.2339,-32.1684,52.6157,112.7143,85.297,-0.25647586,13.28224659,7.4648,1.621683121,0.9745,30.55337715
